Transaction_ID,Date_Time,Revenue_Stream,Amount_EUR,Flight_Reference,Terminal,Passenger_Count,Revenue_Per_Passenger,Payment_Method,Currency_Original,Exchange_Rate,Cost_Category,Synthetic_Data
FIN001,2024-03-20 09:19:19,Parking_Fees,15,CDG135,2E,221.0,0.07,Credit_Card,JPY,1.033,Direct_Operational,False
FIN002,2024-03-19 10:54:12,Car_Rental,100,,2F,,100.0,Commission,EUR,1.0,Marketing,False
FIN003,2024-03-19 09:47:15,Landing_Fees,3189,CDG259,3,478.0,6.67,Airline_Invoice,EUR,1.0,Direct_Operational,False
FIN004,2024-03-18 03:54:45,Hotel_Commission,92,,3,,92.0,Credit_Card,EUR,1.0,Administrative,False
FIN005,2024-03-16 22:46:55,Parking_Fees,29,CDG93,2B,363.0,0.08,Airline_Invoice,EUR,1.0,Marketing,False
FIN006,2024-03-16 21:05:06,Car_Rental,116,,2B,,116.0,Cash,JPY,1.023,Direct_Operational,False
FIN007,2024-03-18 15:24:00,Landing_Fees,3875,CDG277,2F,219.0,17.69,Credit_Card,USD,1.089,Administrative,False
FIN008,2024-03-14 23:19:21,Hotel_Commission,95,,2C,,95.0,Cash,JPY,0.894,Marketing,False
FIN009,2024-03-19 17:45:40,Food_Beverage,25,,1,,25.0,Cash,GBP,1.016,Marketing,False
FIN010,2024-03-15 01:30:05,Hotel_Commission,73,,3,,73.0,Airline_Invoice,EUR,1.0,Indirect_Operational,False
FIN011,2024-03-20 09:00:29,Landing_Fees,7135,CDG6,2D,467.0,15.28,Commission,JPY,0.855,Marketing,False
FIN012,2024-03-14 23:46:14,Car_Rental,85,,2C,,85.0,Credit_Card,JPY,1.077,Direct_Operational,False
FIN013,2024-03-17 21:07:41,Food_Beverage,63,,2D,,63.0,Credit_Card,USD,1.045,Administrative,False
FIN014,2024-03-19 16:43:05,Hotel_Commission,106,,2D,,106.0,Cash,JPY,0.999,Indirect_Operational,False
FIN015,2024-03-16 17:50:16,Retail_Commission,44,,External,,44.0,Airline_Invoice,GBP,1.112,Administrative,False
FIN016,2024-03-20 01:34:22,Duty_Free,119,,External,,119.0,Airline_Invoice,JPY,1.084,Indirect_Operational,False
FIN017,2024-03-20 01:51:45,Hotel_Commission,51,,2C,,51.0,Cash,GBP,1.08,Direct_Operational,False
FIN018,2024-03-18 00:20:16,Food_Beverage,47,,2F,,47.0,Credit_Card,USD,1.044,Marketing,False
FIN019,2024-03-20 12:27:46,Retail_Commission,123,,2C,,123.0,Credit_Card,JPY,0.872,Administrative,False
FIN020,2024-03-21 11:19:57,Landing_Fees,8040,CDG333,2E,492.0,16.34,Cash,EUR,1.0,Administrative,False
FIN021,2024-03-18 01:57:39,Landing_Fees,1431,CDG461,3,266.0,5.38,Cash,JPY,1.088,Direct_Operational,False
FIN022,2024-03-16 04:24:42,Hotel_Commission,27,,2E,,27.0,Airline_Invoice,EUR,1.0,Direct_Operational,False
FIN023,2024-03-19 19:19:45,Parking_Fees,58,CDG262,2A,294.0,0.2,Commission,JPY,0.916,Marketing,False
FIN024,2024-03-18 07:31:22,Car_Rental,113,,1,,113.0,Credit_Card,GBP,1.108,Marketing,False
FIN025,2024-03-15 21:40:11,Food_Beverage,47,,2F,,47.0,Airline_Invoice,USD,0.876,Marketing,False
FIN026,2024-03-19 11:57:52,Landing_Fees,7229,CDG97,2C,225.0,32.13,Credit_Card,GBP,0.852,Direct_Operational,False
FIN027,2024-03-16 08:06:25,Duty_Free,43,,2E,,43.0,Airline_Invoice,GBP,0.869,Indirect_Operational,False
FIN028,2024-03-21 16:51:36,Car_Rental,86,,External,,86.0,Credit_Card,JPY,1.127,Indirect_Operational,False
FIN029,2024-03-15 21:28:30,Retail_Commission,56,,1,,56.0,Cash,EUR,1.0,Marketing,False
