Record_ID,Date_Time,Terminal,Process_Type,Queue_Length,Wait_Time_Minutes,Staff_Count,Throughput_Rate,Peak_Indicator,Special_Events,Passenger_Type,Processing_Duration,Synthetic_Data
PF001,2024-03-20 08:04:21,1,Customs,116,49,2,181,Morning_Rush,Normal,Transit,130,False
PF002,2024-03-17 08:34:56,2C,Customs,56,26,4,232,Morning_Rush,Normal,VIP,138,False
PF003,2024-03-16 00:54:31,2D,Security,5,3,6,86,Night,Normal,Transit,34,False
PF004,2024-03-15 05:40:36,2F,Immigration_NonEU,34,24,1,64,Morning_Rush,VIP_Movement,VIP,314,False
PF005,2024-03-16 23:14:35,1,Baggage_Claim,19,18,2,225,Night,Normal,EU_Citizen,58,False
PF006,2024-03-19 22:57:17,1,Baggage_Claim,13,11,4,172,Night,Normal,EU_Citizen,64,False
PF007,2024-03-18 08:37:15,2B,Baggage_Claim,114,46,2,166,Morning_Rush,Normal,EU_Citizen,74,False
PF008,2024-03-15 22:31:41,1,Immigration_EU,24,18,4,80,Night,Normal,Transit,270,False
PF009,2024-03-15 11:56:21,2C,Immigration_NonEU,34,25,1,81,Normal,Normal,Transit,188,False
PF010,2024-03-18 18:17:35,2A,Security,64,24,3,64,Evening_Peak,Normal,Non_EU,50,False
PF011,2024-03-18 12:53:30,2B,Immigration_NonEU,8,9,4,52,Normal,Normal,EU_Citizen,75,False
PF012,2024-03-21 16:10:26,2B,Immigration_EU,103,35,4,86,Evening_Peak,Normal,Crew,270,False
PF013,2024-03-19 22:13:40,1,Security,1,7,5,128,Night,Normal,Transit,36,False
PF014,2024-03-19 10:21:02,2B,Immigration_NonEU,0,2,3,83,Normal,Normal,Transit,303,False
PF015,2024-03-15 17:38:45,2E,Customs,69,30,1,201,Evening_Peak,Normal,EU_Citizen,157,False
PF016,2024-03-17 19:12:07,2B,Customs,65,29,3,151,Evening_Peak,Normal,Non_EU,52,False
PF017,2024-03-20 00:10:17,2F,Baggage_Claim,28,11,3,88,Night,Normal,EU_Citizen,89,False
PF018,2024-03-15 02:35:58,1,Customs,0,1,4,166,Night,Normal,VIP,147,False
PF019,2024-03-18 23:39:46,1,Immigration_EU,16,7,4,53,Night,Normal,VIP,69,False
PF020,2024-03-15 09:30:46,2D,Security,10,3,7,86,Normal,Normal,Non_EU,82,False
PF021,2024-03-21 05:08:18,1,Baggage_Claim,112,50,4,143,Morning_Rush,Normal,Non_EU,93,False
PF022,2024-03-19 06:09:19,3,Security,89,39,3,87,Morning_Rush,Normal,Crew,59,False
PF023,2024-03-20 00:13:35,2E,Immigration_NonEU,20,11,2,64,Night,Normal,VIP,272,False
PF024,2024-03-21 06:17:37,2F,Immigration_EU,86,39,1,63,Morning_Rush,Normal,Transit,88,False
PF025,2024-03-15 16:29:46,2B,Baggage_Claim,46,15,4,231,Evening_Peak,Normal,VIP,117,False
PF026,2024-03-20 19:25:07,2D,Security,102,40,3,63,Evening_Peak,Normal,Transit,55,False
PF027,2024-03-17 18:41:35,2B,Immigration_EU,22,9,1,55,Evening_Peak,Normal,Crew,71,False
PF028,2024-03-20 09:28:09,2F,Immigration_EU,22,13,4,78,Normal,Normal,Transit,310,False
PF029,2024-03-17 03:23:13,2C,Immigration_EU,27,9,1,72,Night,Normal,Crew,263,False
PF030,2024-03-20 16:46:53,3,Immigration_EU,69,33,3,61,Evening_Peak,VIP_Movement,Non_EU,171,False
PF031,2024-03-16 23:21:42,2E,Immigration_EU,36,17,1,60,Night,System_Down,VIP,211,False
PF032,2024-03-18 03:45:22,2C,Baggage_Claim,7,5,2,109,Night,Normal,Transit,140,False
PF033,2024-03-20 01:20:55,2A,Immigration_NonEU,29,12,2,63,Night,Normal,Crew,279,False
PF034,2024-03-19 05:49:54,2F,Security,113,37,7,91,Morning_Rush,Normal,Transit,42,False
PF035,2024-03-21 15:13:24,2E,Baggage_Claim,33,12,3,229,Normal,Normal,Crew,137,False
PF036,2024-03-15 14:22:53,2D,Immigration_EU,12,14,3,91,Normal,Normal,EU_Citizen,266,False
PF037,2024-03-19 10:33:29,2A,Immigration_NonEU,17,19,1,89,Normal,Normal,EU_Citizen,261,False
PF038,2024-03-16 22:12:18,2D,Immigration_EU,24,12,2,51,Night,Normal,Non_EU,312,False
PF039,2024-03-17 23:41:12,2E,Immigration_EU,9,10,2,78,Night,Normal,VIP,225,False
PF040,2024-03-16 18:50:14,2F,Baggage_Claim,33,18,3,232,Evening_Peak,Normal,Non_EU,130,False
PF041,2024-03-15 03:05:20,2B,Immigration_EU,39,21,4,80,Night,Normal,Non_EU,196,False
PF042,2024-03-21 07:40:18,2A,Immigration_EU,59,32,3,82,Morning_Rush,Normal,VIP,211,False
